description,number,class
Uranyl nitrate hexahydrate solution,2980,7
"Uranyl nitrate, solid",2981,7
"Radioactive material, n.o.s",2982,7
Ethylene oxide and propylene oxide mixtures with not more than 30 percent ethylene oxide,2983,3.1
"Hydrogen peroxide, aqueous solutions with not less than 8 percent but less than 20 percent hydrogen peroxide (stabilized as necessary)",2984,5.2
"Chlorosilanes, flammable, corrosive, n.o.s.",2985,3.2
"Chlorosilanes, corrosive, flammable, n.o.s.",2986,3
"Chlorosilanes, corrosive, n.o.s.",2987,8
"Chlorosilanes, water-reactive, flammable, corrosive, n.o.s.",2988,3
"Lead phosphite, dibasic",2989,4.1
"Life-saving appliances, self-inflating",2990,9
"Carbamate pesticide, liquid, toxic, flammable, flashpoint not less than 23 °C",2991,3
"Carbamate pesticides, liquid, toxic",2992,6.1
"Arsenical pesticides, liquid, toxic, flammable, flashpoint not less than 23 °C",2993,3
"Arsenical pesticides, liquid, toxic",2994,6.1
"Organochlorine pesticides, liquid, toxic, flammable, flashpoint not less than 23 °C",2995,6.1
"Organochlorine pesticide, liquid, toxic",2996,6.1
"Triazine pesticides, liquid, toxic, flammable, flashpoint not less than 23 °C",2997,6.1
"Triazine pesticides, liquid, toxic",2998,6.1
(UN Nos. no longer in use),3001,?
"(UN No. no longer in use) Phenyl urea pesticides, liquid, toxic (UN No. no longer in use)",3002,-6.1
(UN Nos. no longer in use),3003,?
(UN Nos. no longer in use),3004,?
"Thiocarbamate pesticides, liquid, toxic, flammable, flashpoint not less than 23°C",3005,6.1
"Thiocarbamate pesticide, liquid, toxic",3006,6.1
(UN No. no longer in use),3007,?
(UN No. no longer in use),3008,?
"Copper based pesticides, liquid, toxic, flammable, flashpoint not less than 23°C",3009,6.1
"Copper based pesticides, liquid, toxic",3010,6.1
"Mercury based pesticides, liquid, toxic, flammable, flashpoint not less than 23°C",3011,6.1
"Mercury based pesticides, liquid, toxic",3012,6.1
"Substituted nitrophenol pesticides, liquid, toxic, flammable, flashpoint not less than 23°C",3013,6.1
"Substituted nitrophenol pesticides, liquid, toxic",3014,6.1
"Bipyridilium pesticides, liquid, toxic, flammable, flashpoint not less than 23°C",3015,6.1
"Bipyridilium pesticides, liquid, toxic",3016,6.1
"Organophosphorus pesticides, liquid, toxic, flammable, flashpoint not less than 23°C",3017,6.1
"Organophosphorus pesticides, liquid, toxic",3018,6.1
"Organotin pesticides, liquid, toxic, flammable, flashpoint not less than 23°C",3019,6.1
"Organotin pesticides, liquid, toxic",3020,6.1
"Pesticides, liquid, flammable, toxic, flashpoint less than 23°C",3021,3
"1,2-Butylene oxide, stabilized",3022,3
2-Methyl-2-heptanethiol,3023,6.1
"Coumarin derivative pesticides, liquid, flammable, toxic, flashpoint less than 23°C",3024,3
"Coumarin derivative pesticides, liquid, toxic, flammable, flashpoint not less than 23°C",3025,6.1
"Coumarin derivative pesticides, liquid, toxic",3026,6.1
"Coumarin derivative pesticides, solid, toxic",3027,6.1
"Batteries, dry, containing potassium hydroxide solid, electric, storage",3028,8
(UN Nos. no longer in use),3029,?
(UN Nos. no longer in use),3030,?
(UN Nos. no longer in use),3031,?
(UN Nos. no longer in use),3032,?
(UN Nos. no longer in use),3033,?
(UN Nos. no longer in use),3034,?
(UN Nos. no longer in use),3035,?
(UN Nos. no longer in use),3036,?
(UN Nos. no longer in use),3037,?
(UN Nos. no longer in use),3038,?
(UN Nos. no longer in use),3039,?
(UN Nos. no longer in use),3040,?
(UN Nos. no longer in use),3041,?
(UN Nos. no longer in use),3042,?
(UN Nos. no longer in use),3043,?
(UN Nos. no longer in use),3044,?
(UN Nos. no longer in use),3045,?
(UN Nos. no longer in use),3046,?
(UN Nos. no longer in use),3047,?
Aluminium phosphide pesticides,3048,6.1
"(UN No. no longer in use) Metal alkyl halides, water-reactive, n.o.s. or Metal aryl halides, water-reactive, n.o.s. (UN No. no longer in use)",3049,-4.2
"(UN No. no longer in use) Metal alkyl hydrides, water-reactive, n.o.s. or Metal aryl hydrides, water-reactive, n.o.s. (UN No. no longer in use)",3050,-4.2
(UN No. no longer in use) Aluminium alkyls (UN No. no longer in use),3051,-4.2
(UN No. no longer in use) Aluminium alkyl halides (UN No. no longer in use),3052,-4.2
(UN No. no longer in use) Magnesium alkyls (UN No. no longer in use),3053,-4.2
Cyclohexyl mercaptan,3054,3
2-(2-Aminoethoxy) ethanol,3055,8
n-Heptaldehyde,3056,3
Trifluoroacetyl chloride,3057,2
"(UN Nos. no longer in use) (Previously a selection of organic peroxides, class 5.2. See UN 3101 to UN 3120)",3058,?
"(UN Nos. no longer in use) (Previously a selection of organic peroxides, class 5.2. See UN 3101 to UN 3120)",3059,?
"(UN Nos. no longer in use) (Previously a selection of organic peroxides, class 5.2. See UN 3101 to UN 3120)",3060,?
"(UN Nos. no longer in use) (Previously a selection of organic peroxides, class 5.2. See UN 3101 to UN 3120)",3061,?
"(UN Nos. no longer in use) (Previously a selection of organic peroxides, class 5.2. See UN 3101 to UN 3120)",3062,?
"(UN Nos. no longer in use) (Previously a selection of organic peroxides, class 5.2. See UN 3101 to UN 3120)",3063,?
"Nitroglycerin, solution in alcohol, with more than 1 percent but not more than 5 percent nitroglycerin",3064,3
Alcoholic beverages,3065,3
Paint or Paint related material,3066,8
(UN Nos. no longer in use),3067,?
(UN Nos. no longer in use),3068,?
(UN Nos. no longer in use),3069,?
Ethylene oxide and dichlorodifluoromethane mixture with not more than 12.5 percent ethylene oxide,3070,2.2
"Mercaptans, liquid, toxic, flammable, n.o.s. or Mercaptan mixtures, liquid, toxic, flammable, n.o.s., flashpoint not less than 23°C",3071,6.1
"Life-saving appliances, not self-inflating containing dangerous goods as equipment",3072,9
"Vinylpyridines, inhibited",3073,6.1
(UN Nos. no longer in use),3074,?
(UN Nos. no longer in use),3075,?
(UN No. no longer in use) Aluminium alkyl hydrides (UN No. no longer in use),3076,-4.2
"Environmentally hazardous substance, solid, n.o.s. (not including waste)",3077,9
"Cerium, turnings or gritty powder",3078,4.3
"Methacrylonitrile, inhibited",3079,3
"Isocyanates, toxic, flammable, n.o.s. or Isocyanate solutions, toxic, flammable, n.o.s. flashpoint not less than 23°C but not more than 61°C and boiling point less than 300°C",3080,6.1
(UN No. no longer in use),3081,?
"Environmentally hazardous substance, liquid, n.o.s.",3082,9
Perchloryl fluoride,3083,2.3
"Corrosive solid, oxidizing, n.o.s.",3084,8
"Oxidizing solid, corrosive, n.o.s.",3085,5.1
"Toxic solid, oxidizing, n.o.s.",3086,6.1
"Oxidizing solid, toxic, n.o.s.",3087,5.1
"Self-heating solid, organic, n.o.s.",3088,4.2
"Metal powder, flammable, n.o.s.",3089,4.1
Lithium batteries,3090,9
Lithium batteries contained in equipment or Lithium batteries packed with equipment,3091,9
1-Methoxy-2-propanol,3092,3
"Corrosive liquid, oxidizing, n.o.s.",3093,8
"Corrosive liquid, water-reactive, n.o.s.",3094,8
"Corrosive solid, self-heating, n.o.s.",3095,8
"Corrosive solids, water-reactive, n.o.s.",3096,8
"Flammable solid, oxidizing, n.o.s.",3097,4.1
"Oxidizing liquid, corrosive, n.o.s.",3098,5.1
"Oxidizing liquid, toxic, n.o.s.",3099,5.1
"Oxidizing solid, self-heating, n.o.s.",3100,5.1
"Organic peroxide type B, liquid",3101,5.2
"Organic peroxide type B, solid",3102,5.2
"Organic peroxide type C, liquid",3103,5.2
"Organic peroxide type C, solid",3104,5.2
"Organic peroxide type D, liquid",3105,5.2
"Organic peroxide type D, solid",3106,5.2
"Organic peroxide type E, liquid",3107,5.2
"Organic peroxide type E, solid",3108,5.2
"Organic peroxide type F, liquid",3109,5.2
"Organic peroxide type F, solid",3110,5.2
"Organic peroxide type B, liquid, temperature controlled",3111,5.2
"Organic peroxide type B, solid, temperature controlled",3112,5.2
"Organic peroxide type C, liquid, temperature controlled",3113,5.2
"Organic peroxide type C, solid, temperature controlled",3114,5.2
"Organic peroxide type D, liquid, temperature controlled",3115,5.2
"Organic peroxide type D, solid, temperature controlled",3116,5.2
"Organic peroxide type E, liquid, temperature controlled",3117,5.2
"Organic peroxide type E, solid, temperature controlled",3118,5.2
"Organic peroxide type F, liquid, temperature controlled",3119,5.2
"Organic peroxide type F, solid, temperature controlled",3120,5.2
"Oxidizing solid, water-reactive, n.o.s.",3121,5.1
"Toxic liquids, oxidizing, n.o.s. or Toxic liquids, oxidizing, n.o.s. Inhalation Hazard, Packing Group I, Zone A or B",3122,6.1
"Toxic liquids, water-reactive, n.o.s. or Toxic liquids, water-reactive, n.o.s. Inhalation Hazard, Packing Group I, Zone A or B",3123,6.1
"Toxic solids, self-heating, n.o.s.",3124,6.1
"Toxic solids, water-reactive, n.o.s.",3125,6.1
"Self-heating solid, corrosive, organic, n.o.s.",3126,4.2
"Self-heating solid, oxidizing, n.o.s.",3127,4.2
"Self-heating solid, toxic, organic, n.o.s.",3128,4.2
"Water-reactive liquid, corrosive, n.o.s.",3129,4.3
"Water-reactive liquid, toxic, n.o.s.",3130,4.3
"Water-reactive solid, corrosive, n.o.s.",3131,4.3
"Water-reactive solid, flammable, n.o.s.",3132,4.3
"Water-reactive solid, oxidixing, n.o.s.",3133,4.3
"Water-reactive solid, toxic, n.o.s.",3134,4.3
"Water-reactive solid, self-heating, n.o.s.",3135,4.3
"Trifluoromethane, refrigerated liquid",3136,2.2
"Oxidizing solid, flammable, n.o.s.",3137,5.1
"Ethylene, acetylene and propylene mixture, refrigerated liquid, with not less than 71,5 % ethylene, not more than 22,5 % acetylene and not more than 6 % propylene",3138,2.1
"Oxidizing liquid, n.o.s.",3139,5.1
"Alkaloids, liquid, n.o.s. or Alkaloid salts, liquid, n.o.s.",3140,6.1
"Antimony compound, inorganic, liquid, n.o.s.",3141,6.1
"Disinfectant, liquid, toxic, n.o.s.",3142,6.1
"Dye, solid, toxic, n.o.s. or Dye intermediate, solid, toxic, n.o.s.",3143,6.1
"Nicotine compound, liquid, n.o.s. or Nicotine preparation, liquid, n.o.s. ",3144,6.1
"Alkylphenols, liquid, n.o.s. (including C2-C12 homologues)",3145,8
"Organotin compounds, solid, n.o.s.",3146,6.1
"Dye, solid, corrosive, n.o.s. or Dye intermediate, solid, corrosive, n.o.s.",3147,8
"Water-reactive liquid, n.o.s.",3148,4.3
"Hydrogen peroxide and peroxyacetic acid mixtures, stabilized, with acids, water, and not more than 5 percent peroxyacetic acid",3149,5.1
"Devices, small, hydrocarbon gas powered or Hydrocarbon gas refills for small devices, with release device",3150,2.1
"Polyhalogenated biphenyls, liquid or Polyhalogenated terphenyls, liquid",3151,9
"Polyhalogenated biphenyls, solid or Polyhalogenated terphenyls, solid",3152,9
Perfluoro(methyl vinyl ether),3153,2.1
Perfluoro(ethyl vinyl ether),3154,2.1
Pentachlorophenol,3155,6.1
"Compressed gas, oxidizing, n.o.s.",3156,2.2
"Liquefied gas, oxidizing, n.o.s.",3157,2.2
"Gas, refrigerated liquid, n.o.s. (cryogenic liquid)",3158,2.2
"1,1,1,2-Tetrafluoroethane or Refrigerant gas R 134a",3159,2.2
"Liquefied gas, toxic, flammable, n.o.s. Inhalation Hazard Zone A, B, C, or D",3160,2.3
"Liquefied gas, flammable, n.o.s.",3161,2.1
"Liquefied gas, toxic, n.o.s. Inhalation Hazard Zone A, B, C, or D",3162,2.3
"Liquefied gas, n.o.s.",3163,2.2
"Articles, pressurized pneumatic or Hydraulic (containing non-flammable gas)",3164,2.2
Aircraft hydraulic power unit fuel tank (containing a mixture of anhydrous hydrazine and monomethyl hydrazine) (M86 fuel),3165,3
"Engines, internal combustion, flammable gas powered or Engines, internal combustion, flammable liquid powered or Engines, internal combustion, flammable liquid powered or Vehicle, flammable gas powered or Vehicle, flammable liquid powered",3166,9
"Gas sample, non-pressurized, flammable, n.o.s., not refrigerated liquid",3167,2.1
"Gas sample, non-pressurized, toxic, flammable, n.o.s., not refrigerated liquid",3168,2.3
"Gas sample, non-pressurized, toxic, n.o.s., not refrigerated liquid",3169,2.3
Aluminum smelting by-products or Aluminum remelting by-products,3170,4.3
Battery-powered vehicle or Battery-powered equipment,3171,9
"Toxins, extracted from living sources, liquid, n.o.s",3172,6.1
(UN No.no longer in use),3173,?
Titanium disulphide,3174,4.2
"Solids containing flammable liquid, n.o.s.",3175,4.1
"Flammable solid, organic, molten, n.o.s.",3176,4.1
(UN No.no longer in use),3177,?
"Flammable solid, inorganic, n.o.s.",3178,4.1
"Flammable solid, toxic, inorganic, n.o.s.",3179,4.1
"Flammable solid, corrosive, inorganic, n.o.s.",3180,4.1
"Metal salts of organic compounds, flammable, n.o.s.",3181,4.1
"Metal hydrides, flammable, n.o.s.",3182,4.1
"Self-heating liquid, organic, n.o.s.",3183,4.2
"Self-heating liquid, toxic, organic, n.o.s.",3184,4.2
"Self-heating liquid, corrosive, organic, n.o.s.",3185,4.2
"Self-heating liquid, inorganic, n.o.s.",3186,4.2
"Self-heating liquid, toxic, inorganic, n.o.s.",3187,4.2
"Self-heating liquid, corrosive, inorganic, n.o.s.",3188,4.2
"Metal powder, self-heating, n.o.s.",3189,4.2
"Self-heating solid, inorganic, n.o.s.",3190,4.2
"Self-heating solid, toxic, inorganic, n.o.s.",3191,4.2
"Self-heating solid, corrosive, inorganic, n.o.s.",3192,4.2
(UN No. no longer in use),3193,?
"Pyrophoric liquid, inorganic, n.o.s.",3194,4.2
(UN Nos. no longer in use),3195,?
(UN Nos. no longer in use),3196,?
(UN Nos. no longer in use),3197,?
(UN Nos. no longer in use),3198,?
(UN Nos. no longer in use),3199,?
"Pyrophoric solid, inorganic, n.o.s.",3200,4.2
(UN number no longer in use),3201,?
(UN number no longer in use),3202,?
"(UN number no longer in use) Pyrophoric organometallic compound, water-reactive, n.o.s. (UN number no longer in use)",3203,-4.2
(UN number no longer in use),3204,?
"Alkaline earth metal alcoholates, n.o.s.",3205,4.2
"Alkali metal alcoholates, self-heating, corrosive, n.o.s.",3206,4.2
"(UN number no longer in use) Organometallic compound or Compound solution or Compound dispersion, water-reactive, flammable, n.o.s. (UN number no longer in use)",3207,-4.3
"Metallic substance, water-reactive, n.o.s.",3208,4.3
"Metallic substance, water-reactive, self-heating, n.o.s.",3209,4.3
"Chlorates, inorganic, aqueous solutions, n.o.s.",3210,5.1
"Perchlorates, inorganic, aqueous solution, n.o.s.",3211,5.1
"Hypochlorites, inorganic, n.o.s.",3212,5.1
"Bromates, inorganic, aqueous solution, n.o.s.",3213,5.1
"Permanganates, inorganic, aqueous solution, n.o.s.",3214,5.1
"Persulfates, inorganic, n.o.s.",3215,5.1
"Persulfates, inorganic, aqueous solution, n.o.s.",3216,5.1
(UN number no longer in use),3217,?
"Nitrates, inorganic, aqueous solution, n.o.s.",3218,5.1
"Nitrites, inorganic, aqueous solution, n.o.s.",3219,5.1
Pentafluoroethane or Refrigerant gas R 125,3220,2.2
Self-reactive liquid type B,3221,4.1
Self-reactive solid type B,3222,4.1
Self-reactive liquid type C,3223,4.1
Self-reactive solid type C,3224,4.1
Self-reactive liquid type D,3225,4.1
Self-reactive solid type D,3226,4.1
Self-reactive liquid type E,3227,4.1
Self-reactive solid type E,3228,4.1
Self-reactive liquid type F,3229,4.1
Self-reactive solid type F,3230,4.1
"Self-reactive liquid type B, temperature controlled",3231,4.1
"Self-reactive solid type B, temperature controlled",3232,4.1
"Self-reactive liquid type C, temperature controlled",3233,4.1
"Self-reactive solid type C, temperature controlled",3234,4.1
"Self-reactive liquid type D, temperature controlled",3235,4.1
"Self-reactive solid type D, temperature controlled",3236,4.1
"Self-reactive liquid type E, temperature controlled",3237,4.1
"Self-reactive solid type E, temperature controlled",3238,4.1
"Self-reactive liquid type F, temperature controlled",3239,4.1
"Self-reactive solid type F, temperature controlled",3240,4.1
"2-Bromo-2-nitropropane-1,3-diol",3241,4.1
Azodicarbonamide,3242,4.1
"Solids containing toxic liquid, n.o.s.",3243,6.1
"Solids containing corrosive liquid, n.o.s.",3244,8
Genetically modified microorganisms or Genetically modified organisms,3245,9
Methanesulfonyl chloride,3246,6.1
"Sodium peroxoborate, anhydrous,",3247,5.1
"Medicine, liquid, flammable, toxic, n.o.s.",3248,3
"Bupivacaine Hydrochloride monohydrate, solid, toxic, n.o.s.",3249,6.1
"Chloroacetic acid, molten",3250,6.1
Isosorbide-5-mononitrate,3251,4.1
Difluoromethane or Refrigerant gas R 32,3252,2.1
Disodium trioxosilicate,3253,8
Tributylphosphane,3254,4.2
tert-Butyl hypochlorite,3255,4.2
"Elevated temperature liquid, flammable, n.o.s., with flashpoint above 60° C, at or above its flashpoint",3256,3
"Elevated temperature liquid, n.o.s., at or above 100° C and below its flashpoint (including molten metals, molten salts, etc.)",3257,9
"Elevated temperature solid, n.o.s., at or above 240° C, see 49 CFR 173.247(h)(4)",3258,9
"Amines, solid, corrosive, n.o.s. or Polyamines, solid, corrosive, n.o.s.",3259,8
"Corrosive solid, acidic, inorganic, n.o.s.",3260,8
"Corrosive solid, acidic, organic, n.o.s.",3261,8
"Corrosive solid, basic, inorganic, n.o.s.",3262,8
"Corrosive solid, basic, organic, n.o.s.",3263,8
"Corrosive liquid, acidic, inorganic, n.o.s.",3264,8
"Corrosive liquid, acidic, organic, n.o.s.",3265,8
"Corrosive liquid, basic, inorganic, n.o.s.",3266,8
"Corrosive liquid, basic, organic, n.o.s.",3267,8
Air bag inflators or Air bag modules or Seat-belt pretensioners,3268,9
Polyester resin kit,3269,3
Nitrocellulose membrane filters,3270,4.1
"Ethers, n.o.s.",3271,3
"Esters, n.o.s.",3272,3
"Nitriles, flammable, toxic, n.o.s.",3273,3
"Alcoholates solution, n.o.s., in alcohol",3274,3
"Nitriles, toxic, flammable, n.o.s.",3275,6.1
"Nitriles, toxic, liquid, n.o.s.",3276,6.1
"Chloroformates, toxic, corrosive, n.o.s.",3277,6.1
"Organophosphorus compound, toxic, liquid, n.o.s.",3278,6.1
"Organophosphorus compound, toxic, flammable, n.o.s.",3279,6.1
"Organoarsenic compound, n.o.s.",3280,6.1
"Metal carbonyls, liquid, n.o.s.",3281,6.1
"Organometallic compound, toxic, liquid, n.o.s.",3282,6.1
"Selenium compound, solid, n.o.s.",3283,6.1
"Tellurium compound, solid, n.o.s.",3284,6.1
"Vanadium compound, n.o.s.",3285,6.1
"Flammable liquid, toxic, corrosive, n.o.s.",3286,3
"Toxic liquid, inorganic, n.o.s. or Toxic liquid, inorganic, n.o.s. Inhalation Hazard, Packing Group I, Zone A or B",3287,6.1
"Toxic solid, inorganic, n.o.s.",3288,6.1
"Toxic liquid, corrosive, inorganic, n.o.s. or Toxic liquid, corrosive, inorganic, n.o.s. Inhalation Hazard, Packing Group I, Zone A or B",3289,6.1
"Toxic solid, corrosive, inorganic, n.o.s.",3290,6.1
"Clinical waste, unspecified, n.o.s. or (Bio)medical waste, n.o.s. or Regulated medical waste, n.o.s",3291,6.2
"Batteries, containing sodium or Cells, containing sodium",3292,4.3
"Hydrazine, aqueous solution with not more than 37 percent hydrazine, by mass",3293,6.1
"Hydrogen cyanide, solution in alcohol with not more than 45 percent hydrogen cyanide",3294,6.1
"Hydrocarbons, liquid, n.o.s.",3295,3
Heptafluoropropane or Refrigerant gas R 227,3296,2.2
Ethylene oxide and chlorotetrafluoroethane mixture with not more than 8.8 percent ethylene oxide,3297,2.2
Ethylene oxide and pentafluoroethane mixture with not more than 7.9 percent ethylene oxide,3298,2.2
Ethylene oxide and tetrafluoroethane mixture with not more than 5.6 percent ethylene oxide,3299,2.2
Ethylene oxide and carbon dioxide mixture with more than 87 percent ethylene oxide,3300,2.3
"Corrosive liquid, self-heating, n.o.s.",3301,8
2-Dimethylaminoethyl acrylate,3302,6.1
"Compressed gas, toxic, oxidising, n.o.s.",3303,2.3
"Compressed gas, toxic, corrosive, n.o.s.",3304,2.3
"Compressed gas, toxic, flammable, corrosive, n.o.s.",3305,2.3
"Compressed gas, toxic, oxidising, corrosive, n.o.s.",3306,2.3
"Liquefied gas, toxic, oxidising, n.o.s.",3307,2.3
"Liquefied gas, toxic, corrosive, n.o.s.",3308,2.3
"Liquefied gas, toxic, flammable, corrosive, n.o.s.",3309,2.3
"Liquefied gas, toxic, oxidising, corrosive, n.o.s.",3310,2.3
"Gas, refrigerated liquid, oxidising, n.o.s.",3311,2.2
"Gas, refrigerated liquid, flammable, n.o.s.",3312,2.1
"Organic pigments, self-heating",3313,4.2
"Plastics moulding compound in dough, sheet or extruded rope form evolving flammable vapour",3314,9
"Chemical sample, toxic",3315,6.1
Chemical kit or First Aid kit containing dangerous goods,3316,9
"2-Amino-4,6-dinitrophenol, wetted, with not less than 20% water by mass",3317,4.1
"Ammonia solution, relative density less than 0.880 at 15 °C in water, with more than 50% ammonia",3318,2.3
"Nitroglycerin mixture, desensitized, solid, n.o.s., with more than 2% but not more than 10% nitroglycerin, by mass",3319,4.1
"Sodium borohydride and sodium hydroxide solution, with not more than 12% sodium borohydride and not more than 20% sodium hydroxide, by mass",3320,8
"Radioactive material, low specific activity (LSA-II), non-fissile or fissile excepted",3321,7
"Radioactive material, low specific activity (LSA-III), non-fissile or fissile excepted",3322,7
"Radioactive material, Type C package, non-fissile or fissile excepted",3323,7
"Radioactive material, low specific activity (LSA-II), fissile",3324,7
"Radioactive material, low specific activity (LSA-III), fissile",3325,7
"Radioactive material, surface contaminated objects (SCO-I or SCO-II), fissile",3326,7
"Radioactive material, Type A package, fissile, non-special form",3327,7
"Radioactive material, Type B (U) package, fissile",3328,7
"Radioactive material, Type B (M) package, fissile",3329,7
"Radioactive material, Type C package, fissile",3330,7
"Radioactive material, transported under special arrangements, fissile",3331,7
"Radioactive material, Type A package, special form, non-fissile or fissile excepted",3332,7
"Radioactive material, Type A package, special form, fissile",3333,7
"Aviation regulated liquid, n.o.s.",3334,9
"Aviation regulated solid, n.o.s.",3335,9
"Mercaptans, liquid, flammable, n.o.s. or Mercaptan mixture, liquid, flammable, n.o.s.",3336,3
Refrigerant gas R404A,3337,2.2
Refrigerant gas R407A,3338,2.2
Refrigerant gas R407B,3339,2.2
Refrigerant gas R407C,3340,2.2
Thiourea dioxide,3341,4.2
Xanthates,3342,4.2
"Nitroglycerin mixture, desensitized, liquid, flammable, n.o.s., with not more than 30% nitroglycerin by mass",3343,3
"Pentaerythritol tetranitrate mixture, desensitized, solid, n.o.s., with more than 10% but not more than 20% PETN by mass",3344,4.1
"Phenoxyacetic acid derivative pesticide, solid, toxic",3345,6.1
"Phenoxyacetic acid derivative pesticide, liquid, flammable, toxic flash point less than 23 °C",3346,3
"Phenoxyacetic acid derivative pesticide, liquid, toxic, flammable flash point 23 °C or more",3347,6.1
"Phenoxyacetic acid derivative pesticide, liquid, toxic",3348,6.1
"Pyrethroid pesticide, solid, toxic",3349,6.1
"Pyrethroid pesticide, liquid, flammable, toxic flash point less than 23 °C",3350,3
"Pyrethroid pesticide, liquid, toxic, flammable flash point 23 °C or more",3351,6.1
"Pyrethroid pesticide, liquid, toxic",3352,6.1
(UN No. no longer in use),3353,?
"Insecticide gas, flammable, n.o.s.",3354,2.1
"Insecticide gas, toxic, flammable, n.o.s.",3355,2.3
"Oxygen generator, chemical",3356,5.1
"Nitroglycerin mixture, desensitized, liquid, n.o.s., with not more than 30% nitroglycerin by mass",3357,3
"Refrigerating machines, containing flammable, non-toxic, liquefied gas",3358,2.1
Fumigated unit,3359,9
"Fibres, vegetable, dry",3360,4.1
"Chlorosilanes, toxic, corrosive, n.o.s.",3361,6.1
"Chlorosilanes, toxic, corrosive, flammable, n.o.s.",3362,6.1
Dangerous goods in machinery or Dangerous goods in apparatus,3363,9
"Trinitrophenol (Picric acid), wetted, with not less than 10% water by mass",3364,4.1
"Trinitrochlorobenzene (Picryl chloride), wetted, with not less than 10% water by mass",3365,4.1
"Trinitrotoluene (TNT), wetted, with not less than 10% water by mass",3366,4.1
"Trinitrobenzene, wetted, with not less than 10% water by mass",3367,4.1
"Trinitrobenzoic acid, wetted, with not less than 10% water by mass",3368,4.1
"Sodium dinitro-o-cresolate, wetted, with not less than 10% water by mass",3369,4.1
"Urea nitrate, wetted, with not less than 10% water by mass",3370,4.1
2-Methylbutanal,3371,3
"(UN No. no longer in use) Organometallic compound, solid, water reactive, flammable, n.o.s (UN No. no longer in use)",3372,-4.3
"Biological substance, Category B",3373,6.2
"Acetylene, solvent free",3374,2.1
Ammonium nitrate emulsion or suspension or gel,3375,5.1
"4-Nitrophenylhydrazine, with not less than 30% water by mass",3376,4.1
Sodium perborate monohydrate,3377,5.1
Sodium carbonate peroxyhydrate,3378,5.1
"Desensitized explosive, liquid, n.o.s.",3379,3
"Desensitized explosive, solid, n.o.s.",3380,4.1
"Toxic by inhalation liquid, n.o.s. with an inhalation toxicity lower than or equal to 200ml/m3 and saturated vapour concentration greater than or equal to 500 LC50",3381,6.1
"Toxic by inhalation liquid, n.o.s. with an inhalation toxicity lower than or equal to 1000ml/m3 and saturated vapour concentration greater than or equal to 10 LC50",3382,6.1
"Toxic by inhalation liquid, flammable, n.o.s. with an inhalation toxicity lower than or equal to 200ml/m3 and saturated vapour concentration greater than or equal to 500 LC50",3383,6.1
"Toxic by inhalation liquid, flammable, n.o.s. with an inhalation toxicity lower than or equal to 1000ml/m3 and saturated vapour concentration greater than or equal to 10 LC50",3384,6.1
"Toxic by inhalation liquid, water-reactive, n.o.s. with an inhalation toxicity lower than or equal to 200ml/m3 and saturated vapour concentration greater than or equal to 500 LC50",3385,6.1
"Toxic by inhalation liquid, water-reactive, n.o.s. with an inhalation toxicity lower than or equal to 1000ml/m3 and saturated vapour concentration greater than or equal to 10 LC50",3386,6.1
"Toxic by inhalation liquid, oxidising, n.o.s. with an inhalation toxicity lower than or equal to 200ml/m3 and saturated vapour concentration greater than or equal to 500 LC50",3387,6.1
"Toxic by inhalation liquid, oxidising, n.o.s. with an inhalation toxicity lower than or equal to 1000ml/m3 and saturated vapour concentration greater than or equal to 10 LC50",3388,6.1
"Toxic by inhalation liquid, corrosive, n.o.s. with an inhalation toxicity lower than or equal to 200ml/m3 and saturated vapour concentration greater than or equal to 500 LC50",3389,6.1
"Toxic by inhalation liquid, corrosive, n.o.s. with an inhalation toxicity lower than or equal to 1000ml/m3 and saturated vapour concentration greater than or equal to 10 LC50",3390,6.1
"Organometallic substance, solid, pyrophoric",3391,4.2
"Organometallic substance, liquid, pyrophoric",3392,4.2
"Organometallic substance, solid, pyrophoric, water-reactive",3393,4.2
"Organometallic substance, liquid, pyrophoric, water-reactive",3394,4.2
"Organometallic substance, solid, water-reactive",3395,4.3
"Organometallic substance, solid, water-reactive, flammable",3396,4.3
"Organometallic substance, solid, water-reactive, self-heating",3397,4.3
"Organometallic substance, liquid, water-reactive",3398,4.3
"Organometallic substance, liquid, water-reactive, flammable",3399,4.3
"Organometallic substance, liquid, water-reactive, self-heating",3400,4.3
"Alkali metal amalgam, solid",3401,4.3
"Alkaline earth metal amalgam, solid",3402,4.3
"Potassium metal alloys, solid",3403,4.3
"Potassium sodium alloys, solid",3404,4.3
Barium chlorate solution,3405,5.1
Barium perchlorate solution,3406,5.1
Chlorate and magnesium chloride mixture solution,3407,5.1
Lead perchlorate solution,3408,5.1
"Chloronitrobenzenes, liquid",3409,6.1
4-Chloro-o-toluidine hydrochloride solution,3410,6.1
beta-Naphthylamine solution,3411,6.1
"Formic acid a. with not less than 10% but not more than 85% acid by mass, or, b. with not less than 5% but not more than 10% acid by mass",3412,8
Potassium cyanide solution,3413,6.1
Sodium cyanide solution,3414,6.1
Sodium fluoride solution,3415,6.1
"Chloroacetophenone, liquid",3416,6.1
Xylyl bromide solution,3417,6.1
"2,4-Toluylenediamine solution",3418,6.1
"Boron trifluoride-acetic acid complex, solid",3419,8
"Boron trifluoride-propionic acid complex, solid",3420,8
Potassium hydrogen difluoride solution,3421,8
Potassium fluoride solution,3422,6.1
